repo,osv_total,in_graph,explicit_direct,implicit_direct,transitive,true_transitive,transitive_density_strict_pct,unique_findings,unique_called,unique_imported,unique_required,deps_explicit_direct,deps_implicit_direct,deps_transitive,max_depth,total_modules_in_graph,avg_vuln_age_days,median_vuln_age_days,pct_over_90_days,pct_over_365_days,avg_inertia_tags,max_inertia_tags,tags_total
x-motemen/gore,160,16,3,3,10,13,81.25,1,0,0,1,7,14,33,2,63,1123,1340,87.5,87.5,4,8,20
xataio/pgroll,164,21,0,11,10,21,100.00,0,0,0,0,16,73,121,2,284,1045,1267,90.5,81.0,24,32,32
XIU2/CloudflareSpeedTest,157,3,0,3,0,3,100.00,1,0,1,0,3,5,5,2,15,944,1413,66.7,66.7,1,1,1
xjasonlyu/tun2socks,190,47,37,10,0,10,21.28,14,5,5,4,19,11,111,2,147,726,695,68.1,57.4,3,13,36
xo/dbtpl,188,45,0,34,11,45,100.00,13,0,0,13,16,17,76,2,111,772,785,68.9,60.0,2,4,4
xo/usql,224,81,0,81,0,81,100.00,22,0,0,22,68,296,1008,2,2206,756,696,72.8,61.7,51,121,152
xpzouying/xiaohongshu-mcp,227,84,7,77,0,77,91.67,34,6,9,19,9,36,44,2,99,793,853,70.2,61.9,1,1,1
xtaci/kcp-go,214,71,71,0,0,0,0.00,21,0,1,20,9,4,14,2,95,748,785,69.0,60.6,42,70,198
XTLS/RealiTLScanner,157,3,0,3,0,3,100.00,0,0,0,0,1,2,10,2,15,944,1413,66.7,66.7,1,1,1
XTLS/REALITY,193,50,40,0,10,10,20.00,14,0,0,14,6,3,16,2,29,683,495,70.0,56.0,0,0,0
XTLS/Xray-core,238,95,89,6,0,6,6.32,19,1,0,18,31,16,189,2,260,839,939,75.8,65.3,61,112,126
xvzc/spoofdpi,220,77,45,32,0,32,41.56,22,0,0,22,17,35,155,2,222,826,960,71.4,63.6,25,49,49
yggdrasil-network/yggdrasil-go,224,81,81,0,0,0,0.00,22,0,1,21,20,14,68,2,104,764,785,72.8,61.7,12,31,51
yorukot/superfile,199,56,13,33,10,43,76.79,16,1,1,14,29,56,153,2,258,758,744,67.9,58.9,1,1,1
yuin/goldmark,155,0,0,0,0,0,0.00,0,0,0,0,0,0,1,2,3,,,,,,,1
yuin/gopher-lua,155,1,0,1,0,1,100.00,0,0,0,0,1,3,1,2,7,1413,1413,100.0,100.0,5,5,5
zalando/postgres-operator,236,93,40,53,0,53,56.99,24,3,6,15,16,56,168,2,289,877,1009,75.3,67.7,7,17,27
zalando/skipper,273,130,107,19,4,23,17.69,0,0,0,0,78,242,967,2,1508,826,785,79.2,69.2,1,1,1
zan8in/afrog,247,104,81,23,0,23,22.12,21,2,15,4,44,178,524,2,2438,887,985,77.9,67.3,52,105,105
zegl/kube-score,192,49,3,45,1,46,93.88,8,0,3,5,13,21,69,2,108,944,1231,81.6,75.5,4,11,40
zeromicro/go-zero,253,110,69,40,1,41,37.27,28,7,3,18,44,85,290,2,471,777,762,72.7,65.5,46,116,155
zincsearch/zincsearch,232,89,38,51,0,51,57.30,37,3,14,20,31,91,364,2,681,816,892,73.0,65.2,10,38,38
zu1k/nali,198,55,6,39,10,49,89.09,23,3,1,19,13,29,109,2,197,830,892,72.7,61.8,8,36,49
