repo,osv_total,in_graph,explicit_direct,implicit_direct,transitive,true_transitive,transitive_density_strict_pct,unique_findings,unique_called,unique_imported,unique_required,deps_explicit_direct,deps_implicit_direct,deps_transitive,max_depth,total_modules_in_graph,avg_vuln_age_days,median_vuln_age_days,pct_over_90_days,pct_over_365_days,avg_inertia_tags,max_inertia_tags,tags_total
nats-io/nats-server,212,69,35,0,34,34,49.28,0,0,0,0,11,0,26,2,40,602,457,59.4,53.6,105,246,285
nats-io/nats.go,186,43,1,32,10,42,97.67,14,0,0,14,3,2,8,2,15,714,695,65.1,58.1,23,57,79
navidrome/navidrome,247,104,62,31,11,42,40.38,19,0,0,19,61,70,242,2,456,753,678,76.0,61.5,21,46,115
nektos/act,246,103,17,83,3,86,83.50,22,9,7,6,38,61,133,2,277,724,695,72.8,60.2,28,67,98
netbirdio/netbird,157,14,12,0,2,2,14.29,0,0,0,0,124,196,809,2,1262,996,1232,92.9,85.7,209,291,333
netlify/gotrue,249,106,45,60,1,61,57.55,22,1,8,13,23,95,455,2,1482,811,805,74.5,65.1,0,1,2
nextdns/nextdns,186,43,42,0,1,1,2.33,7,0,1,6,7,1,13,2,23,881,1197,79.1,72.1,18,66,176
nextlevelbuilder/goclaw,244,101,87,14,0,14,13.86,31,15,11,5,51,155,971,2,1193,764,785,70.3,62.4,1,1,1
nezhahq/nezha,240,97,84,13,0,13,13.40,0,0,0,0,39,71,345,2,489,823,856,76.3,64.9,1,1,1
nginx-proxy/docker-gen,188,45,1,34,10,44,97.78,14,0,1,13,5,32,65,2,105,727,695,66.7,57.8,1,1,1
nginx/kubernetes-ingress,240,97,37,60,0,60,61.86,0,0,0,0,28,183,781,2,1044,803,804,75.3,67.0,27,63,112
nicksnyder/go-i18n,158,3,3,0,0,0,0.00,0,0,0,0,3,0,5,2,10,1630,1695,100.0,100.0,12,12,42
nicocha30/ligolo-ng,230,87,81,6,0,6,6.90,23,2,8,13,21,54,259,2,367,798,814,72.4,64.4,1,1,1
nikoksr/notify,155,12,0,12,0,12,100.00,0,0,0,0,36,103,521,2,797,1090,1311,91.7,91.7,18,28,65
nikolaydubina/go-recipes,155,0,0,0,0,0,0.00,0,0,0,0,0,2,3,2,7,,,,,,,6
nkanaev/yarr,189,46,42,3,1,4,8.70,10,7,1,2,4,2,7,2,16,930,1214,80.4,73.9,2,7,12
NoFxAiOS/nofx,261,118,54,64,0,64,54.24,37,5,14,18,15,107,353,2,528,789,767,79.7,65.3,0,0,0
nsf/termbox-go,155,1,1,0,0,0,0.00,0,0,0,0,2,1,1,2,6,1413,1413,100.0,100.0,0,0,3
nuclio/nuclio,250,107,62,44,1,45,42.06,22,0,0,22,69,148,579,2,1070,809,856,76.6,64.5,82,209,374
